"TaxID";"Taxon.name";"Rank";"Model.organism";"Picture";"Image.name"
1678;"Bifidobacterium";"Genus";"";"Bacteria1M_filamentous.svg";"Filamentous bacteria: one membrane (Gram+)"
1854;"Frankia";"Genus";"";"Bacteria1M_filamentous.svg";"Filamentous bacteria: one membrane (Gram+)"
1386;"Bacillus";"Genus";"Bacillus subtilis";"Bacteria1M_rod.svg";"Rod-shaped bacteria: one membrane (Gram+)"
1485;"Clostridium";"Genus";"";"Bacteria1M_rod.svg";"Rod-shaped bacteria: one membrane (Gram+)"
1578;"Lactobacillus";"Genus";"";"Bacteria1M_rod.svg";"Rod-shaped bacteria: one membrane (Gram+)"
1637;"Listeria ";"Genus";"";"Bacteria1M_rod.svg";"Rod-shaped bacteria: one membrane (Gram+)"
129337;"Geobacillus";"Genus";"";"Bacteria1M_rod.svg";"Rod-shaped bacteria: one membrane (Gram+)"
1827;"Rhodococcus";"Genus";"";"Bacteria1M_rod.svg";"Rod-shaped bacteria: one membrane (Gram+)"
1817;"Nocardia";"Genus";"";"Bacteria1M_rod.svg";"Rod-shaped bacteria: one membrane (Gram+)"
1663;"Arthrobacter";"Genus";"";"Bacteria1M_rod.svg";"Rod-shaped bacteria: one membrane (Gram+)"
1743;"Propionibacterium";"Genus";"";"Bacteria1M_rod.svg";"Rod-shaped bacteria: one membrane (Gram+)"
1654;"Actinomyces";"Genus";"";"Bacteria1M_rod.svg";"Rod-shaped bacteria: one membrane (Gram+)"
1218;"Prochlorococcus ";"Genus";"";"Bacteria2M_coccus.svg";"Coccus bacteria: two membranes (Gram-)"
482;"Neisseria";"Genus";"";"Bacteria2M_coccus.svg";"Coccus bacteria: two membranes (Gram-)"
810;"Chlamydia";"Genus";"Chlamydia trachomatis";"Bacteria2M_coccus.svg";"Coccus bacteria: two membranes (Gram-)"
32199;"Buchnera";"Genus";"";"Bacteria2M_coccus.svg";"Coccus bacteria: two membranes (Gram-)"
1142;"Synechocystis ";"Genus";"";"Bacteria2M_coccus.svg";"Coccus bacteria: two membranes (Gram-)"
943;"Ehrlichia";"Genus";"";"Bacteria2M_coccus.svg";"Coccus bacteria: two membranes (Gram-)"
234;"Brucella";"Genus";"Brucella melitensis";"Bacteria2M_coccus.svg";"Coccus bacteria: two membranes (Gram-)"
